Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,0,0,0,0
0.655852800,0,0,0,0,1,0,0,0
0.655863360,0,0,0,0,0,0,0,0
0.659377280,0,0,0,1,0,0,0,0
0.660603360,0,0,0,1,0,0,0,1
0.826772800,0,0,0,0,0,0,0,1
0.866098080,0,0,0,0,0,0,0,0
0.903451360,0,0,0,0,0,0,1,0
1.103787840,0,0,0,0,0,0,0,0
1.150895040,0,0,0,0,0,1,0,0
1.341014240,0,0,0,0,0,0,0,0
1.342180960,0,1,0,0,0,0,0,0
1.483478880,0,0,0,0,0,0,0,0
1.484698560,1,0,0,0,0,0,0,0
1.896380640,0,0,0,0,0,0,0,0
1.902360000,0,1,0,0,0,0,0,0
2.043479360,0,0,0,0,0,0,0,0
2.089769920,0,0,0,0,0,1,0,0
2.270989920,0,0,0,0,0,0,0,0
2.305567040,0,0,0,0,0,0,1,0
2.503792000,0,0,0,0,0,0,0,0
2.559118400,0,0,0,0,0,0,0,1
2.766041440,0,0,0,0,0,0,0,0
2.800282240,0,0,0,1,0,0,0,0
2.801572160,0,0,0,1,1,0,0,0
2.966778240,0,0,0,0,1,0,0,0
4.215476000,0,0,0,0,0,0,0,0
4.702863360,0,0,0,0,0,0,0,0
