Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.000000000,0,0,0,0,0,0,0,0
2.760127200,0,0,0,0,1,0,0,0
2.760137760,0,0,0,0,0,0,0,0
2.767980320,0,0,0,1,0,0,0,0
2.769278080,0,0,0,1,0,0,0,1
2.933491680,0,0,0,0,0,0,0,1
2.935431840,0,0,1,0,0,0,0,1
2.973701280,0,0,1,0,0,0,0,0
2.977541920,0,0,1,0,0,0,1,0
3.086242080,0,0,0,0,0,0,1,0
3.087600320,1,0,0,0,0,0,1,0
3.091271200,1,1,0,0,0,0,1,0
3.093109120,1,1,0,0,0,1,1,0
3.168782080,1,1,0,0,0,1,0,0
3.239214560,1,0,0,0,0,1,0,0
3.280462880,1,0,0,0,0,0,0,0
3.493040320,0,0,0,0,0,0,0,0
3.494169600,0,1,0,0,0,0,0,0
3.495374560,0,1,1,0,0,0,0,0
3.639216160,0,0,1,0,0,0,0,0
3.641687360,0,0,1,0,0,1,0,0
3.646223360,0,0,0,0,0,1,0,0
3.648573920,0,0,0,1,0,1,0,0
3.650759520,0,0,0,1,0,1,1,0
3.652003040,0,0,0,1,0,1,1,1
3.813495360,0,0,0,0,0,1,1,1
3.814598720,0,0,0,0,1,1,1,1
3.830448640,0,0,0,0,1,0,1,1
3.848785440,0,0,0,0,1,0,0,1
3.853673600,0,0,0,0,1,0,0,0
5.219843680,0,0,0,0,0,0,0,0
6.304563200,0,0,0,0,0,0,0,0
